X,Y
19.8089,0.000904228
19.8086,0.000905747
19.8082,0.00091079
19.8078,0.000908784
19.8075,0.000910305
19.8071,0.000922382
19.8068,0.000913338
19.8064,0.000914854
19.806,0.000916368
19.8057,0.000917881
19.8053,0.000919395
19.805,0.000920906
19.8046,0.000922419
19.8042,0.00092393
19.8039,0.000925442
19.8035,0.000926951
19.8032,0.000928461
19.8028,0.000937013
19.8024,0.00093852
19.8021,0.000932984
19.8017,0.00093449
19.8014,0.000935993
19.801,0.000937497
19.8006,0.000939003
19.8003,0.000940506
19.7999,0.000942008
19.7996,0.000960968
19.7992,0.000945013
19.7988,0.000946509
19.7985,0.000951532
19.7981,0.000949511
19.7977,0.00095101
19.7974,0.000952506
19.797,0.000954004
19.7967,0.000955497
19.7963,0.000977968
19.7959,0.000958488
19.7956,0.00095998
19.7952,0.000961475
19.7949,0.000962966
19.7945,0.000964459
19.7941,0.000965949
19.7938,0.00097096
19.7934,0.000972449
19.7931,0.000970417
19.7927,0.000971904
19.7923,0.000973392
19.792,0.000974877
19.7916,0.000976363
19.7913,0.000977849
19.7909,0.000982855
19.7905,0.000984338
19.7902,0.000989342
19.7898,0.000990822
19.7894,0.000992302
19.7891,0.000986741
19.7887,0.000988221
19.7884,0.000989699
19.788,0.000991178
19.7876,0.000996179
19.7873,0.000994131
19.7869,0.000995609
19.7866,0.000997082
19.7862,0.000998558
19.7858,0.00100003
19.7855,0.00100502
19.7851,0.0010065
19.7848,0.00100445
19.7844,0.00100944
19.784,0.00101091
19.7837,0.00100886
19.7833,0.00102089
19.783,0.00101179
19.7826,0.00101326
19.7822,0.00101472
19.7819,0.00101619
19.7815,0.00101766
19.7812,0.00101912
19.7808,0.00102058
19.7804,0.00102204
19.7801,0.00102703
19.7797,0.00102849
19.7794,0.00102643
19.779,0.00102789
19.7786,0.00103639
19.7783,0.00103784
19.7779,0.00103226
19.7776,0.00103371
19.7772,0.00103517
19.7768,0.00103662
19.7765,0.00103808
19.7761,0.00104305
19.7758,0.00104098
19.7754,0.00104244
19.775,0.00104389
19.7747,0.00104533
19.7743,0.00104679
19.774,0.00104823
19.7736,0.00104968
19.7732,0.00105113
19.7729,0.00105258
19.7725,0.00105402
19.7721,0.00105547
19.7718,0.00105691
19.7714,0.00105835
19.7711,0.00106331
19.7707,0.00106828
19.7703,0.00106268
19.77,0.00106412
19.7696,0.00106555
19.7693,0.00106699
19.7689,0.00106843
19.7685,0.00106987
19.7682,0.0010713
19.7678,0.00107626
19.7675,0.00107417
19.7671,0.00107561
19.7667,0.00107704
19.7664,0.00107847
19.766,0.00107991
19.7657,0.00108134
19.7653,0.00108277
19.7649,0.00108419
19.7646,0.00108562
19.7642,0.00111155
19.7639,0.00108848
19.7635,0.0010899
19.7631,0.00109133
19.7628,0.00109275
19.7624,0.00109418
19.7621,0.0010956
19.7617,0.00109702
19.7613,0.00109844
19.761,0.00109986
19.7606,0.00113282
19.7603,0.0011027
19.7599,0.00111116
19.7595,0.00111258
19.7592,0.00110695
19.7588,0.00110837
19.7584,0.00110978
19.7581,0.0011112
19.7577,0.00111261
19.7574,0.00111402
19.757,0.00111544
19.7566,0.00111684
19.7563,0.00111825
19.7559,0.00111966
19.7556,0.00112107
19.7552,0.00112248
19.7548,0.00112389
19.7545,0.00113586
19.7541,0.0011267
19.7538,0.00113162
19.7534,0.00112951
19.753,0.00113091
19.7527,0.00113231
19.7523,0.00113371
19.752,0.00113512
19.7516,0.00114355
19.7512,0.00114495
19.7509,0.00113931
19.7505,0.00114071
19.7502,0.0011421
19.7498,0.0011435
19.7494,0.00114489
19.7491,0.00114629
19.7487,0.00114768
19.7484,0.00114908
19.748,0.00115046
19.7476,0.00115185
19.7473,0.00115324
19.7469,0.00115463
19.7466,0.00115588
19.7462,0.00116093
19.7459,0.00116218
19.7455,0.00116018
19.7451,0.00116157
19.7447,0.00116295
19.7444,0.00116434
19.744,0.00116572
19.7437,0.00117414
19.7433,0.00117552
19.7429,0.00116986
19.7426,0.00117124
19.7422,0.00117262
19.7419,0.001174
19.7415,0.00117537
19.7411,0.00117675
19.7408,0.00118517
19.7404,0.0011795
19.7401,0.00118087
19.7397,0.00118225
19.7393,0.00118714
19.739,0.00118499
19.7386,0.00118636
19.7383,0.00118773
19.7379,0.00118909
19.7375,0.00119047
19.7372,0.00119536
19.7368,0.00120024
19.7364,0.00120161
19.7361,0.00119593
19.7357,0.00119729
19.7354,0.00119866
19.735,0.00120002
19.7347,0.00120138
19.7343,0.00120626
19.7339,0.0012041
19.7336,0.00120532
19.7332,0.00121034
19.7328,0.00120817
19.7325,0.00120953
19.7321,0.00121088
19.7318,0.00121224
19.7314,0.00121359
19.731,0.00121495
19.7307,0.0012163
19.7303,0.00121765
19.73,0.00122251
19.7296,0.00122034
19.7292,0.00122169
19.7289,0.00122304
19.7285,0.00122439
19.7282,0.00122573
19.7278,0.00122708
19.7274,0.00123194
19.7271,0.00122977
19.7267,0.00123111
19.7264,0.00123245
19.726,0.00123379
19.7256,0.00123513
19.7253,0.00123648
19.7249,0.00123781
19.7246,0.00123915
19.7242,0.00124049
19.7238,0.00124534
19.7235,0.00124316
19.7231,0.00124449
19.7228,0.00124583
19.7224,0.00124716
19.722,0.00124849
19.7217,0.00124969
19.7213,0.00125115
19.721,0.00125248
19.7206,0.00125381
19.7202,0.00125513
19.7199,0.00125646
19.7195,0.00125779
19.7191,0.00126263
19.7188,0.00126044
19.7184,0.00126176
19.7181,0.00126308
19.7177,0.0012644
19.7173,0.00126572
19.717,0.00127056
19.7166,0.00127188
19.7163,0.00126968
19.7159,0.001271
19.7155,0.00127231
19.7152,0.00127363
19.7148,0.00127494
19.7145,0.00128316
19.7141,0.00128461
19.7137,0.00128592
19.7134,0.00128019
19.713,0.0012815
19.7127,0.00128281
19.7123,0.00128412
19.7119,0.00128542
19.7116,0.00128673
19.7112,0.00128804
19.7109,0.00128934
19.7105,0.00129064
19.7101,0.00129195
19.7098,0.00129325
19.7094,0.00129455
19.7091,0.00129586
19.7087,0.00129716
19.7083,0.00129845
19.708,0.00129975
19.7076,0.00130104
19.7072,0.00130938
19.7069,0.00130364
19.7065,0.00130493
19.7062,0.00131327
19.7058,0.00130752
19.7054,0.00130881
19.7051,0.0013101
19.7047,0.00131138
19.7044,0.00131267
19.704,0.00131396
19.7036,0.00131525
19.7033,0.00131654
19.7029,0.00131782
19.7026,0.00131911
19.7022,0.0013204
19.7018,0.00132168
19.7015,0.00132296
19.7011,0.00132423
19.7008,0.00132552
19.7004,0.0013268
19.7,0.00132808
19.6997,0.00133287
19.6993,0.00133415
19.699,0.00133894
19.6986,0.00134022
19.6982,0.00133446
19.6979,0.00133573
19.6975,0.001337
19.6972,0.00133827
19.6968,0.00133942
19.6964,0.00134785
19.6961,0.00134912
19.6957,0.00135039
19.6954,0.00134462
19.695,0.00134588
19.6946,0.00134714
19.6943,0.00134828
19.6939,0.00134967
19.6936,0.00135093
19.6932,0.0013522
19.6928,0.00135697
19.6925,0.00135471
19.6921,0.00135597
19.6918,0.00135711
19.6914,0.00135848
19.691,0.00135974
19.6907,0.00136803
19.6903,0.00136225
19.6899,0.0013635
19.6896,0.00136476
19.6892,0.00136601
